trait_category	source_organism	gene_name	uniprot_accession	reference_evidence
potassium solubilisation	Bacillus_subtilis168	oxdC	O34714	Zhou et al. (2022); Meena et al. (2016); Etesami et al. (2017); Prajapati and Modi (2012); Ahmed et al. (2020); Khuong et al. (2023)
potassium solubilisation	Bacillus_subtilis168	bshA	P42982	Zhou et al. (2022); Meena et al. (2016); Etesami et al. (2017); Prajapati and Modi (2012)
potassium solubilisation	Bacillus_subtilis168	thiO	O31616	Zhou et al. (2022)
potassium solubilisation	Bacillus_subtilis168	dapG	Q04795	Zhou et al. (2022)
potassium solubilisation	Bacillus_subtilis168	speH	O34426	Zhou et al. (2022)
potassium solubilisation	Pseudomonas_aeruginosaATCC15692	rmlC	Q9HU21	Zhou et al. (2022); Meena et al. (2016); Etesami et al. (2017); Zhang and Kong (2014); Prajapati and Modi (2012); Bakhshandeh et al. (2017); Ahmed et al. (2020); Jiao et al. (2024); Khuong et al. (2023); Wu et al. (2023)
potassium solubilisation	Pseudomonas_fluorescens	estF	P22862	Zhou et al. (2022)
potassium solubilisation	Bacillus_subtilis168	gabT	P94427	Zhou et al. (2022); Meena et al. (2016); Etesami et al. (2017); Prajapati and Modi (2012); Bakhshandeh et al. (2017)
potassium solubilisation	Bacillus_subtilis168	yvgN	O32210	Zhou et al. (2022); Meena et al. (2016); Etesami et al. (2017); Jiao et al. (2024); Khuong et al. (2023)
potassium solubilisation	Bacillus_subtilis168	scmK	P54950	Zhou et al. (2022); Meena et al. (2016); Etesami et al. (2017); Zhang and Kong (2014); Prajapati and Modi (2012); Bakhshandeh et al. (2017); Ahmed et al. (2020); Jiao et al. (2024); Wu et al. (2023)
potassium solubilisation	Pseudomonas_plecoglossicida	ptxS	A0A167V873	Meena et al. (2016); Etesami et al. (2017); Bakhshandeh et al. (2017)
potassium solubilisation	Lactiplantibacillus_plantarumATCCBAA-793	LACPL	F9UST3	Meena et al. (2016); Etesami et al. (2017)
potassium solubilisation	Escheria_coliK12	ydfG	P39831	Meena et al. (2016); Etesami et al. (2017)
potassium solubilisation	Saccharomyces_cerevisiae	FUM1	P08417	Meena et al. (2016); Etesami et al. (2017); Jiao et al. (2024)
potassium solubilisation	Enterobacter_agglomerans	iaaspH	O50173	Meena et al. (2016); Etesami et al. (2017); Bakhshandeh et al. (2017); Saha et al. (2016); Dong et al. (2019); Khuong et al. (2023); Rallos et al. (2021)
potassium solubilisation	Saccharomyces_cerevisiaeATCC204508	HEM1	P09950	Khuong et al. (2023)
phosphorus solubilisation	Bacillus_subtilis168	oxdC	O34714	Billah et al. (2019); Rawat et al. (2020); Chawngthu et al. (2020); Rfaki et al. (2020); Nacoon et al. (2020); Li et al. (2016); Mendes et al. (2013); Gulati et al. (2010); Yi et al. (2008)
phosphorus solubilisation	Bacillus_subtilis168	bshA	P42982	Zhou et al. (2022); Suleman et al. (2018); Chawngthu et al. (2020); Bononi et al. (2020); Nacoon et al. (2020); Li et al. (2016); Vyas and Gulati (2009)
phosphorus solubilisation	Bacillus_subtilis168	thiO	O31616	Zhou et al. (2022)
phosphorus solubilisation	Bacillus_subtilis168	dapG	Q04795	Zhou et al. (2022)
phosphorus solubilisation	Bacillus_subtilis168	speH	O34426	Zhou et al. (2022)
phosphorus solubilisation	Pseudomonas_aeruginosaATCC15692	rmlC	Q9HU21	Billah et al. (2019); Rawat et al. (2020); Chawngthu et al. (2020); Nacoon et al. (2020); Li et al. (2016)
phosphorus solubilisation	Pseudomonas_fluorescens	estF	P22862	Zhou et al. (2022); Suleman et al. (2018); Chawngthu et al. (2020); Rfaki et al. (2020); Nacoon et al. (2020); Do Carmo et al. (2020); Teng et al. (2019); Li et al. (2016); Seervino et al. (2010)
phosphorus solubilisation	Bacillus_subtilis168	gabT	P94427	Rawat et al. (2020); Rfaki et al. (2020); Teng et al. (2019); Seervino et al. (2010)
phosphorus solubilisation	Mycobacterium_marinumATCCBAA-535	Car	B2HN69	Rawat et al. (2020)
phosphorus solubilisation	Bacillus_subtilis168	scmK	P54950	Zhou et al. (2022); Suleman et al. (2018); Rawat et al. (2020); Bononi et al. (2020); Rfaki et al. (2020); Do Carmo et al. (2020); Teng et al. (2019); Li et al. (2016); Mendes et al. (2013); Vyas and Gulati (2009); Seervino et al. (2010); Yi et al. (2008); Chen et al. (2006)
phosphorus solubilisation	Escheria_coliK12	ydfG	P39831	Rawat et al. (2020)
phosphorus solubilisation	Escheria_coliK12	dkgA	Q46857	Rawat et al. (2020); Vyas and Gulati (2009); Trivedi and Sa (2008)
phosphorus solubilisation	Escheria_coliK12	Icd	P08200	Chawngthu et al. (2020); Teng et al. (2019); Li et al. (2016); Gulati et al. (2010)
phosphorus solubilisation	Escheria_coliK12	bioA	P12995	Bononi et al. (2020); Rfaki et al. (2020); Seervino et al. (2010)
