contig_name	contig_length_bp	plasflow_predicted_label
NZ_JBLFHU010000001.1	5190595	chromosome.Firmicutes
NZ_JBLFHU010000006.1	6746	chromosome.Firmicutes
NZ_JBLFHU010000024.1	899	chromosome.Proteobacteria
NZ_JBLFHU010000032.1	400	chromosome.unclassified
NZ_JBLFHU010000002.1	361880	plasmid.Firmicutes
NZ_JBLFHU010000003.1	36590	plasmid.Firmicutes
NZ_JBLFHU010000011.1	16156	plasmid.unclassified
NZ_JBLFHU010000012.1	10422	plasmid.Firmicutes
NZ_JBLFHU010000004.1	6749	plasmid.Firmicutes
NZ_JBLFHU010000005.1	6122	plasmid.Firmicutes
NZ_JBLFHU010000013.1	5220	plasmid.Firmicutes
NZ_JBLFHU010000014.1	3681	plasmid.Firmicutes
NZ_JBLFHU010000015.1	3533	plasmid.Firmicutes
NZ_JBLFHU010000016.1	2791	plasmid.unclassified
NZ_JBLFHU010000017.1	2168	plasmid.unclassified
NZ_JBLFHU010000018.1	1493	plasmid.Firmicutes
NZ_JBLFHU010000019.1	1405	plasmid.Firmicutes
NZ_JBLFHU010000020.1	1378	plasmid.Firmicutes
NZ_JBLFHU010000007.1	1307	plasmid.Firmicutes
NZ_JBLFHU010000021.1	1201	plasmid.Firmicutes
NZ_JBLFHU010000022.1	986	plasmid.Spirochaetes
NZ_JBLFHU010000023.1	916	plasmid.unclassified
NZ_JBLFHU010000008.1	772	plasmid.Firmicutes
NZ_JBLFHU010000025.1	770	plasmid.Firmicutes
NZ_JBLFHU010000026.1	705	plasmid.unclassified
NZ_JBLFHU010000027.1	687	plasmid.Proteobacteria
NZ_JBLFHU010000010.1	608	plasmid.unclassified
NZ_JBLFHU010000028.1	566	plasmid.unclassified
NZ_JBLFHU010000029.1	534	plasmid.Firmicutes
NZ_JBLFHU010000030.1	411	plasmid.Firmicutes
NZ_JBLFHU010000031.1	404	plasmid.Firmicutes
NZ_JBLFHU010000033.1	400	plasmid.unclassified
NZ_JBLFHU010000034.1	356	plasmid.Firmicutes
NZ_JBLFHU010000035.1	335	plasmid.unclassified
