Strain	GenBank assembly accession	source_database
Bacillus subtilis 168	GCA_000009045.1	GenBank
Bacillus albus SXL388	GCA_030292135.1	GenBank
Bacillus sanguinis BML-BC004	GCA_018332475.1	GenBank
Bacillus wiedmannii SR52	GCA_008807735.1	GenBank
Bacillus paramobilis ILBB166	GCA_037907705.1	GenBank
Bacillus mobilis 0711P9-1	GCA_001884045.1	GenBank
Bacillus fungorum 17-SMS-01	GCA_002746455.1	GenBank
Bacillus anthracis Ames Ancestor (A2084)	GCA_000008445.1	GenBank
Bacillus tropicus T36S-23	GCA_031357045.1	GenBank
Bacillus pacificus anQ-h4	GCA_020861345.1	GenBank
Bacillus paranthracis Bt C4	GCA_024296885.1	GenBank
Bacillus cereus ATCC 14579	GCA_000007825.1	GenBank
Bacillus thuringiensis ATCC 10792	GCA_002119445.1	GenBank
Bacillus toyonensis P18	GCA_016605985.1	GenBank
Bacillus luti FJ	GCA_009739945.1	GenBank
Bacillus paramycoides NH24A2	GCA_001884235.1	GenBank
Bacillus proteolyticus TD42	GCA_001884065.1	GenBank
Bacillus nitratireducens BM02	GCA_018141025.1	GenBank
Bacillus nitratireducens LABIM53	GCA_047444815.1	GenBank
Bacillus nitratireducens ATCC 6463	GCA_031316625.1	GenBank
Bacillus mycoides ATCC 6462T	GCA_031316615.1	GenBank
Bacillus hominis SIN2.1	GCA_030348325.1	GenBank
Bacillus cytotoxicus NVH 391-98	GCA_000017425.1	GenBank
Bacillus gaemokensis KCTC 13318	GCA_001590835.1	GenBank
Bacillus pseudomycoides DSM 12442	GCA_000161455.1	GenBank
Bacillus bingmayongensis FJAT-13831	GCA_000299035.1	GenBank
