analysis	taxon_id	strain	assembly_accession	included	status
ANI	B_subtilis_168	Bacillus subtilis 168	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_albus_SXL388	Bacillus albus SXL388	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_sanguinis_BMLBC004	Bacillus sanguinis BMLBC004	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_wiedmannii_SR52	Bacillus wiedmannii SR52	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_paramobilis_ILBB166	Bacillus paramobilis ILBB166	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_mobilis_0711P91	Bacillus mobilis 0711P91	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_fungorum_17SMS01	Bacillus fungorum 17SMS01	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_anthracis_A2084	Bacillus anthracis A2084	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_tropicus_T36S23	Bacillus tropicus T36S23	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_pacificus_Qh4	Bacillus pacificus Qh4	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_paranthracis_BtC4	Bacillus paranthracis BtC4	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_cereus_ATCC14579	Bacillus cereus ATCC14579	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_thuringiensis_ATCC10792	Bacillus thuringiensis ATCC10792	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_toyonensis_P18	Bacillus toyonensis P18	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_luti_FJ	Bacillus luti FJ	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_paramycoides_NH24A2	Bacillus paramycoides NH24A2	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_proteolyticus_TD42	Bacillus proteolyticus TD42	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_nitratireducens_BM02	Bacillus nitratireducens BM02	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	LABIM53	Bacillus nitratireducens LABIM53	JBLFHU000000000	true	accession_reported_in_manuscript
ANI	B_nitratireducens_ATCC6463	Bacillus nitratireducens ATCC6463	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_mycoides_ATCC6462	Bacillus mycoides ATCC6462	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_hominis_SIN21	Bacillus hominis SIN21	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_cytotoxicus_NVH39198	Bacillus cytotoxicus NVH39198	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_gaemokensis_KCTC13318	Bacillus gaemokensis KCTC13318	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_pseudomycoides_DSM12442	Bacillus pseudomycoides DSM12442	not_reported_in_manuscript	true	label_extracted_from_figure_2A
ANI	B_bingmayongensis_FJAT13831	Bacillus bingmayongensis FJAT13831	not_reported_in_manuscript	true	label_extracted_from_figure_2A
phylogeny	LABIM53	Bacillus nitratireducens LABIM53	JBLFHU000000000	true	highlighted_clade_member_reported_in_results
phylogeny	B_nitratireducens_ATCC6463	Bacillus nitratireducens ATCC6463	not_reported_in_manuscript	true	highlighted_clade_member_reported_in_results
phylogeny	B_nitratireducens_MCCC_1A00732T	Bacillus nitratireducens MCCC 1A00732 T	not_reported_in_manuscript	true	highlighted_clade_member_reported_in_results
phylogeny	B_nitratireducens_BM02	Bacillus nitratireducens BM02	not_reported_in_manuscript	true	highlighted_clade_member_reported_in_results
